episode,total_reward
680,-17.9636820965
681,-19.6761566218
682,-35.9406494102
683,-34.7694849331
684,-38.3482363958
685,-27.1491540049
686,-13.6128409385
687,-27.0148824693
688,-29.2038745439
689,-28.8169931251
690,-19.601408191
691,-25.9978589094
692,-27.9610576074
693,-20.5189593827
694,-23.2274779666
695,-48.2102227509
696,-26.598937479
697,-20.2973962641
698,-19.7392491545
699,-22.8800316121
700,-19.3262555844
701,-35.8962126087
702,-33.939985486
703,-24.8771553541
704,-23.9459493203
705,-38.8125187724
706,-28.6508803899
707,-22.5158536925
708,-27.6173153463
709,-18.8504369198
710,-40.1640103471
711,-22.6645136274
712,-19.0526838403
713,-26.1983393637
714,-20.6495481338
715,-23.2925661955
716,-31.7111916656
717,-23.5364199512
718,-26.9053458059
719,-21.9521031223
720,-24.7964177342
721,-19.3311790589
722,-29.597212401
723,-27.7126980985
724,-25.1820183007
725,-38.2940547161
726,-25.4953092885
727,-25.2537408839
728,-21.7025470513
729,-27.3412949543
730,-26.3083230392
731,-38.892173097
732,-27.0426936181
733,-18.3352247495
734,-18.7909137956
735,-33.5166190146
736,-25.0599066697
737,-37.9923764789
738,-32.9700603854
739,-22.6299111082
740,-41.8801517606
741,-31.7148640644
742,-20.8096706591
743,-30.159404839
744,-31.353282302
745,-31.2757375617
746,-21.3565436039
747,-24.7213678855
748,-39.0133379493
749,-20.9664288916
750,-21.3197562335
751,-30.8475259581
752,-26.168117145
753,-29.5858459496
754,-37.7695837392
755,-36.5984938917
756,-21.2333400127
757,-35.9209155868
758,-19.5900798678
759,-32.3617165149
760,-28.4086624916
761,-28.5735812079
762,-27.6507607811
763,-26.7236740204
764,-32.3736624993
765,-21.798959433
766,-40.0258038168
767,-22.8961333162
768,-48.5115235502
769,-26.6907439323
770,-48.6525528807
771,-36.9123115369
772,-28.7387631547
773,-28.9481865448
774,-20.2120320633
775,-24.8519437833
776,-24.5408502794
777,-23.7679691898
778,-32.6309483412
779,-48.7885388317
780,-31.6265066121
781,-29.5324028825
782,-31.4783741363
783,-29.8435412131
784,-30.1523760948
785,-19.5641643078
786,-45.2348103267
787,-37.3381081491
788,-38.7245285719
789,-25.6131057249
790,-22.9507154133
791,-48.8429860091
792,-31.8939632606
793,-30.04496387
794,-34.106722364
795,-18.3626610692
796,-23.7283314292
797,-20.7358093017
798,-15.4180640141
799,-31.5789698329
800,-30.3108874935
801,-18.8374838045
802,-13.9650741678
803,-34.2794770474
804,-24.8219791976
805,-36.0148064292
806,-32.0990065143
807,-22.3482800437
808,-18.7800157253
809,-20.5092146501
810,-22.3694022829
811,-29.0094463749
812,-34.3318000757
813,-34.0411024184
814,-17.496984649
815,-16.9674535399
816,-28.8900951822
817,-22.0782661447
818,-30.7895184986
819,-21.8966447801
820,-28.6135744238
821,-40.4829446445
822,-37.4359240235
823,-36.6410133869
824,-40.6476812625
825,-27.7072978937
826,-17.8683898684
827,-23.0049635276
828,-24.6391941833
829,-22.5850367692
830,-25.7140292708
831,-41.9508332257
832,-32.6269965917
833,-21.7327767429
834,-28.0889647213
835,-19.902659578
836,-22.075280218
837,-36.4952360366
838,-28.4187443952
839,-29.8144739405
840,-24.0513132381
841,-29.4690965625
842,-35.3247273578
843,-22.6763653449
844,-40.6458630579
845,-30.043723765
846,-35.4927354609
847,-26.9872647849
848,-27.2791965835
849,-21.3521394675
850,-31.2163595233
851,-22.3399602012
852,-27.4844868379
853,-19.3480706004
854,-22.3579558466
855,-23.4710701544
856,-32.373683332
857,-17.726530743
858,-32.1681415785
859,-33.2314589804
860,-25.4449240689
861,-24.5744342366
862,-40.4234972354
863,-35.9468778868
864,-24.6736736074
865,-20.7520982543
866,-19.4252877771
867,-39.6281484494
868,-30.2026716607
869,-29.9184802404
870,-27.024606535
871,-23.5828597406
872,-22.2354302994
873,-18.0662537908
874,-27.888181696
875,-28.9756243675
876,-23.0559441012
877,-22.0263371565
878,-12.6312747378
879,-32.9317782406
880,-32.7746812921
